Rank,Coin Name,Price,24h Change,Market Cap,Timestamp
2,1,"$90,093.95",2.97%,,2025-12-11 19:02:16
3,2,"$3,201.57",0.48%,,2025-12-11 19:02:17
4,3,$1.00,0.01%,,2025-12-11 19:02:17
5,4,$2.01,6.36%,,2025-12-11 19:02:17
6,5,$868.10,4.32%,,2025-12-11 19:02:17
7,6,$1.00,0.03%,,2025-12-11 19:02:17
8,7,$131.26,8.19%,,2025-12-11 19:02:17
9,8,$0.2806,0.40%,,2025-12-11 19:02:17
10,9,$0.1379,7.92%,,2025-12-11 19:02:17
1,"CoinMarketCap 20 Index DTF
CMC20
Buy",0.15%,"$6,554,924",,2025-12-11 19:04:00
2,"Bitcoin
BTC
Buy",0.26%,"$1,795,801,907,531",,2025-12-11 19:04:00
3,"Ethereum
ETH
Buy",0.07%,"$385,358,255,657",,2025-12-11 19:04:00
4,"Tether
USDT
Buy",0.02%,"$186,136,805,984",,2025-12-11 19:04:00
5,"XRP
XRP
Buy",0.11%,"$121,363,274,798",,2025-12-11 19:04:00
6,"BNB
BNB
Buy",0.21%,"$119,496,077,417",,2025-12-11 19:04:00
7,"USDC
USDC
Buy",0.01%,"$78,262,146,249",,2025-12-11 19:04:00
8,"Solana
SOL
Buy",0.08%,"$73,664,755,185",,2025-12-11 19:04:00
9,"TRON
TRX
Buy",0.11%,"$26,568,817,365",,2025-12-11 19:04:00
10,"Dogecoin
DOGE
Buy",0.03%,"$20,984,245,612",,2025-12-11 19:04:00
1,CoinMarketCap 20 Index DTF,0.15%,"$6,554,924",,2025-12-11 19:04:44
2,Bitcoin,0.26%,"$1,795,191,659,503",,2025-12-11 19:04:44
3,Ethereum,0.07%,"$385,358,845,927",,2025-12-11 19:04:44
4,Tether,0.00%,"$186,108,811,490",,2025-12-11 19:04:44
5,XRP,0.11%,"$121,359,854,009",,2025-12-11 19:04:44
6,BNB,0.04%,"$119,489,806,105",,2025-12-11 19:04:44
7,USDC,0.01%,"$78,262,883,564",,2025-12-11 19:04:44
8,Solana,0.08%,"$73,744,219,790",,2025-12-11 19:04:44
9,TRON,0.10%,"$26,569,071,537",,2025-12-11 19:04:44
10,Dogecoin,0.03%,"$20,979,251,947",,2025-12-11 19:04:44
1,CoinMarketCap 20 Index DTF,0.15%,"$6,554,924",,2025-12-11 19:05:35
2,Bitcoin,0.30%,"$1,796,002,237,540",,2025-12-11 19:05:36
3,Ethereum,0.00%,"$385,678,552,576",,2025-12-11 19:05:36
4,Tether,0.00%,"$186,100,251,116",,2025-12-11 19:05:36
5,XRP,0.11%,"$121,377,063,805",,2025-12-11 19:05:36
6,BNB,0.21%,"$119,495,015,783",,2025-12-11 19:05:36
7,USDC,0.01%,"$78,252,637,800",,2025-12-11 19:05:36
8,Solana,0.08%,"$73,675,313,764",,2025-12-11 19:05:36
9,TRON,0.11%,"$26,569,797,060",,2025-12-11 19:05:36
10,Dogecoin,0.03%,"$20,983,809,486",,2025-12-11 19:05:36
1,CoinMarketCap 20 Index DTF,$190.93,3.34%,"$6,546,872",2025-12-11 19:24:10
1,Bitcoin,"$90,145.89",2.66%,"$1,799,373,791,468",2025-12-11 19:24:10
2,Ethereum,"$3,196.63",0.77%,"$385,818,859,567",2025-12-11 19:24:10
3,Tether,$1.00,0.00%,"$186,097,606,567",2025-12-11 19:24:10
4,XRP,$2.01,5.75%,"$121,311,275,660",2025-12-11 19:24:10
5,BNB,$867.35,4.14%,"$119,465,904,794",2025-12-11 19:24:10
6,USDC,$1.00,0.03%,"$78,255,379,020",2025-12-11 19:24:10
7,Solana,$131.31,7.59%,"$73,769,539,986",2025-12-11 19:24:10
8,TRON,$0.2806,0.53%,"$26,568,221,049",2025-12-11 19:24:10
9,Dogecoin,$0.1379,7.55%,"$20,989,833,761",2025-12-11 19:24:10
1,Bitcoin,"$90,019.97",2.67%,"$1,796,724,902,927",2025-12-11 19:26:18
2,Ethereum,"$3,191.92",0.71%,"$385,248,575,738",2025-12-11 19:26:18
3,Tether,$1.00,0.00%,"$186,097,606,567",2025-12-11 19:26:18
4,XRP,$2.01,5.74%,"$121,399,917,988",2025-12-11 19:26:18
5,BNB,$867.35,4.14%,"$119,465,904,794",2025-12-11 19:26:18
6,USDC,$0.9999,0.01%,"$78,240,462,712",2025-12-11 19:26:18
7,Solana,$131.29,7.69%,"$73,761,055,132",2025-12-11 19:26:18
8,TRON,$0.2806,0.53%,"$26,568,221,049",2025-12-11 19:26:19
9,Dogecoin,$0.1380,7.46%,"$20,996,358,607",2025-12-11 19:26:19
10,Cardano,$0.4161,6.62%,"$14,942,951,396",2025-12-11 19:26:19
1,Bitcoin,"$90,101.55",2.70%,"$1,798,488,656,449",2025-12-11 19:28:53
2,Ethereum,"$3,192.05",0.55%,"$385,265,868,960",2025-12-11 19:28:53
3,Tether,$1.00,0.00%,"$186,092,953,082",2025-12-11 19:28:53
4,XRP,$2.01,5.68%,"$121,268,911,320",2025-12-11 19:28:53
5,BNB,$867.71,4.02%,"$119,514,926,849",2025-12-11 19:28:53
6,USDC,$0.9999,0.01%,"$78,241,556,290",2025-12-11 19:28:53
7,Solana,$131.31,7.75%,"$73,772,590,171",2025-12-11 19:28:53
8,TRON,$0.2810,0.36%,"$26,612,017,806",2025-12-11 19:28:53
9,Dogecoin,$0.1379,7.52%,"$20,982,925,027",2025-12-11 19:28:53
10,Cardano,$0.4158,6.62%,"$14,932,292,401",2025-12-11 19:28:53
1,Bitcoin,"$90,225.31",2.65%,"$1,800,958,929,365",2025-12-11 19:49:12
2,Ethereum,"$3,195.82",0.57%,"$385,720,474,567",2025-12-11 19:49:12
3,Tether,$1.00,0.00%,"$186,109,027,157",2025-12-11 19:49:12
4,XRP,$2.00,5.84%,"$121,248,125,587",2025-12-11 19:49:13
5,BNB,$868.51,4.23%,"$119,625,321,173",2025-12-11 19:49:13
6,USDC,$0.9999,0.00%,"$78,242,432,454",2025-12-11 19:49:13
7,Solana,$131.29,7.92%,"$73,758,088,103",2025-12-11 19:49:13
8,TRON,$0.2813,0.38%,"$26,637,177,819",2025-12-11 19:49:13
9,Dogecoin,$0.1379,7.68%,"$20,988,318,151",2025-12-11 19:49:15
10,Cardano,$0.4165,6.50%,"$14,958,666,019",2025-12-11 19:49:16
1,Bitcoin,"$89,770.74",2.82%,"$1,786,137,436,956",2025-12-11 20:40:55
2,Ethereum,"$3,168.45",0.09%,"$381,210,336,638",2025-12-11 20:40:55
3,Tether,$0.9999,0.03%,"$186,063,681,552",2025-12-11 20:40:55
4,XRP,$1.98,6.36%,"$120,054,557,705",2025-12-11 20:40:56
5,BNB,$861.84,4.76%,"$118,707,359,645",2025-12-11 20:40:56
6,USDC,$0.9998,0.00%,"$78,317,340,572",2025-12-11 20:40:56
7,Solana,$130.95,8.36%,"$73,568,510,156",2025-12-11 20:40:56
8,TRON,$0.2810,0.29%,"$26,612,760,284",2025-12-11 20:40:56
9,Dogecoin,$0.1371,7.69%,"$20,868,547,972",2025-12-11 20:40:56
10,Cardano,$0.4130,6.66%,"$14,833,706,927",2025-12-11 20:40:56
